,MI_dir_L5_weight,MI_dir_L5_mean,MI_dir_L5_variance,MI_dir_L3_weight,MI_dir_L3_mean,MI_dir_L3_variance,MI_dir_L1_weight,MI_dir_L1_mean,MI_dir_L1_variance,MI_dir_L0.1_weight,MI_dir_L0.1_mean,MI_dir_L0.1_variance,MI_dir_L0.01_weight,MI_dir_L0.01_mean,MI_dir_L0.01_variance,H_L5_weight,H_L5_mean,H_L5_variance,H_L3_weight,H_L3_mean,H_L3_variance,H_L1_weight,H_L1_mean,H_L1_variance,H_L0.1_weight,H_L0.1_mean,H_L0.1_variance,H_L0.01_weight,H_L0.01_mean,H_L0.01_variance,HH_L5_weight,HH_L5_mean,HH_L5_std,HH_L5_magnitude,HH_L5_radius,HH_L5_covariance,HH_L5_pcc,HH_L3_weight,HH_L3_mean,HH_L3_std,HH_L3_magnitude,HH_L3_radius,HH_L3_covariance,HH_L3_pcc,HH_L1_weight,HH_L1_mean,HH_L1_std,HH_L1_magnitude,HH_L1_radius,HH_L1_covariance,HH_L1_pcc,HH_L0.1_weight,HH_L0.1_mean,HH_L0.1_std,HH_L0.1_magnitude,HH_L0.1_radius,HH_L0.1_covariance,HH_L0.1_pcc,HH_L0.01_weight,HH_L0.01_mean,HH_L0.01_std,HH_L0.01_magnitude,HH_L0.01_radius,HH_L0.01_covariance,HH_L0.01_pcc,HH_jit_L5_weight,HH_jit_L5_mean,HH_jit_L5_variance,HH_jit_L3_weight,HH_jit_L3_mean,HH_jit_L3_variance,HH_jit_L1_weight,HH_jit_L1_mean,HH_jit_L1_variance,HH_jit_L0.1_weight,HH_jit_L0.1_mean,HH_jit_L0.1_variance,HH_jit_L0.01_weight,HH_jit_L0.01_mean,HH_jit_L0.01_variance,HpHp_L5_weight,HpHp_L5_mean,HpHp_L5_std,HpHp_L5_magnitude,HpHp_L5_radius,HpHp_L5_covariance,HpHp_L5_pcc,HpHp_L3_weight,HpHp_L3_mean,HpHp_L3_std,HpHp_L3_magnitude,HpHp_L3_radius,HpHp_L3_covariance,HpHp_L3_pcc,HpHp_L1_weight,HpHp_L1_mean,HpHp_L1_std,HpHp_L1_magnitude,HpHp_L1_radius,HpHp_L1_covariance,HpHp_L1_pcc,HpHp_L0.1_weight,HpHp_L0.1_mean,HpHp_L0.1_std,HpHp_L0.1_magnitude,HpHp_L0.1_radius,HpHp_L0.1_covariance,HpHp_L0.1_pcc,HpHp_L0.01_weight,HpHp_L0.01_mean,HpHp_L0.01_std,HpHp_L0.01_magnitude,HpHp_L0.01_radius,HpHp_L0.01_covariance,HpHp_L0.01_pcc,danger
162378,1.00172464,66.0,0.0,1.022556727,66.0,0.0,1.415936008,66.00000077,4.79e-05,8.973923134,67.9636912,155.1650658,96.12082539,70.4009584,333.5075205,1.00172464,66.0,0.0,1.022556727,66.0,0.0,1.415936008,66.00000077,4.79e-05,8.973923134,67.9636912,155.1650658,96.12082539,70.4009584,333.5075205,1.0,66.0,0.0,93.33809512,0.0,3.46e-73,0.0,1.0,66.0,9.54e-07,93.33809512,1.65e-07,2.07e-43,5.33e-34,1.000029762,66.00000042,0.002589167,93.34786722,0.220908257,7.55e-13,6.21e-10,1.935747793,67.64022504,4.853170348,97.56392603,55.61850345,2.817635098,0.081791468,17.58136316,69.74438219,6.774194809,99.28020435,69.96871131,4.66815789,0.094819215,1.0,15.0388751,0.0,1.0,15.0388751,6.82e-13,1.000029762,15.03872586,0.000751894,1.935747793,11.47806921,25.16574837,17.58136316,8.552019259,29.75899812,1.0,66.0,0.0,93.33809512,0.0,3.46e-73,0.0,1.0,66.0,9.54e-07,93.33809512,1.65e-07,2.07e-43,5.33e-34,1.000029762,66.00000042,0.002589167,93.34786722,0.220908257,7.55e-13,6.21e-10,1.935747793,67.64022504,4.853170348,97.56392603,55.61850345,2.817635098,0.081791468,17.58136316,69.74438219,6.774194809,99.28020435,69.96871131,4.66815789,0.094819215,0
818228,46.95254735454045,550.4780140677948,7612.632763974952,76.03327758440436,496.14996729591866,30460.78815619444,322.48558242036074,385.64024841985,58714.73869675488,3757.058399679524,345.9154043218911,62904.21172466196,25172.745906798744,342.3353019209811,63125.62558705805,46.95254735454045,550.4780140677948,7612.632763974952,76.03327758440436,496.14996729591866,30460.78815619444,322.48558242036074,385.64024841985,58714.73869675488,3757.058399679524,345.9154043218911,62904.21172466196,25172.745906798744,342.3353019209811,63125.62558705805,45.512132076445816,565.9999999999999,0.0,565.9999999999999,0.0,0.0,0.0,65.53606362974016,565.9999999942761,0.0017019022929401,565.9999999942761,2.896471414715052e-06,0.0,0.0,207.5162043430589,565.9976592457451,1.0883088595535118,565.9976592457451,1.1844161737826653,0.0,0.0,2124.700636535334,565.5001938024054,15.895034751373808,565.5001938024054,252.65212974738097,0.0,0.0,14061.940344934734,565.3341864000325,18.342801689818067,565.3341864000325,336.4583738319925,0.0,0.0,45.512132076445816,0.0079144835455335,0.0011392775445857,65.53606362974016,0.0086046056193753,0.0014006123843521,207.5162043430589,0.0073228570446577,0.001087810774288,2124.700636535334,1.6296324661133357,2446623135.768321,14061.940344934734,29253.887709526065,44103988033552.24,1.0,566.0,0.0,566.0,0.0,0.0,0.0,1.0,566.0,0.0,566.0,0.0,0.0,0.0,1.0,566.0,0.0,566.0,0.0,0.0,0.0,1.0,566.0,0.0,566.0,0.0,0.0,0.0,1.0,566.0,0.0,566.0,0.0,0.0,0.0,1
137045,1.68126121,75.51666513,61.6997277,2.048118819,73.81199907,63.96570509,2.708806077,71.85051951,60.61485365,10.58881265,68.14763703,118.0514845,100.6982126,71.55223625,2205.308876,1.68126121,75.51666513,61.6997277,2.048118819,73.81199907,63.96570509,2.708806077,71.85051951,60.61485365,10.58881265,68.14763703,118.0514845,100.6982126,71.55223625,2205.308876,1.0,82.0,7.88e-05,105.2615789,6.21e-09,-9.87e-52,0.0,1.000000428,81.99999316,0.010462398,105.2615736,0.000109462,-1.71e-30,0.0,1.007533911,81.88035879,1.37838502,105.1684038,1.899945263,-1.95e-09,-1.4e-06,2.145234822,74.20809588,7.997291654,100.2752661,67.30967474,-2.310562764,-0.063078022,17.75001319,70.54929715,7.166475974,99.59481942,71.88813179,-0.044146656,-0.000868565,1.0,7.052428007,1.55e-09,1.000000428,7.052431425,2.73e-05,1.007533911,7.112199307,0.474204848,2.145234822,9.754907358,19.97715001,17.75001319,8.468196139,29.43927237,1.0,82.0,7.88e-05,105.2615789,6.21e-09,-9.87e-52,0.0,1.000000428,81.99999316,0.010462398,105.2615736,0.000109462,-1.71e-30,0.0,1.007533911,81.88035879,1.37838502,105.1684038,1.899945263,-1.95e-09,-1.4e-06,2.145234822,74.20809588,7.997291654,100.2752661,67.30967474,-2.310562764,-0.063078022,17.75001319,70.54929715,7.166475974,99.59481942,71.88813179,-0.044146656,-0.000868565,0
774528,96.20713157325888,534.6098201879465,14897.384698280131,172.12291187027554,494.1714088673712,31184.128256265685,590.4552532390513,430.9507753126048,50093.38606275746,6306.834093516469,396.0148030559217,57113.024053820285,50246.86047093469,392.00424585396064,57763.62576945878,96.20713157325888,534.6098201879465,14897.384698280131,172.12291187027554,494.1714088673712,31184.128256265685,590.4552532390513,430.9507753126048,50093.38606275746,6306.834093516469,396.0148030559217,57113.024053820285,50246.86047093469,392.00424585396064,57763.62576945878,90.23856555170156,566.0000000000006,1.8688123647942943e-05,566.0000000000006,3.4924596548080444e-10,0.0,0.0,147.68820175685397,566.0000000000002,1.8688123647942943e-05,566.0000000000002,3.4924596548080444e-10,0.0,0.0,432.8575697223203,565.9999999987831,0.0007844932114671,565.9999999987831,6.154295988380909e-07,0.0,0.0,4188.1326990686575,565.9842065068217,2.8268813404535984,565.9842065068217,7.991258113004732,0.0,0.0,32970.240257900965,565.964639633757,4.229786632976318,565.964639633757,17.891094960505146,0.0,0.0,90.23856555170156,0.0032525345435953,2.270085623288647e-05,147.68820175685397,0.0032993005471423,3.2347166840941684e-05,432.8575697223203,0.0033523974374254,4.584887351406557e-05,4188.1326990686575,0.052318889031571,73680882.01517597,32970.240257900965,9407.144629312645,14182662238814.592,1.0,566.0,0.0,566.0,0.0,0.0,0.0,1.0,566.0,0.0,566.0,0.0,0.0,0.0,1.0,566.0,0.0,566.0,0.0,0.0,0.0,1.0,566.0,0.0,566.0,0.0,0.0,0.0,1.0,566.0,0.0,566.0,0.0,0.0,0.0,1
581411,142.94255715047282,69.66980816916471,41.872124394617465,235.33042556412656,69.11936271355377,44.50837241366207,664.5511128662095,68.98671479736656,45.1062342525056,6632.414537591189,69.33643845531684,43.74421605101634,32166.941195856503,69.3642911791916,43.563882537599056,142.94255715047282,69.66980816916471,41.872124394617465,235.33042556412656,69.11936271355377,44.50837241366207,664.5511128662095,68.98671479736656,45.1062342525056,6632.414537591189,69.33643845531684,43.74421605101634,32166.941195856503,69.3642911791916,43.563882537599056,98.73050761605136,73.99999999999999,2.132480599880018e-06,73.99999999999999,4.547473508864642e-12,0.0,0.0,153.2902156233821,74.00000000000007,3.015782985847835e-06,74.00000000000007,9.094947017729284e-12,0.0,0.0,426.5057922208832,73.99999966679448,0.0021598321052684,73.99999966679448,4.664874722948298e-06,0.0,0.0,4419.6633577289485,73.99810991560851,0.16265795115234,73.99810991560851,0.026457609073077,0.0,0.0,21501.58389072599,73.99807365165087,0.1642107368932986,73.99807365165087,0.0269651661110401,0.0,0.0,98.73050761605136,0.0031613137374078,0.000155142022232,153.2902156233821,0.0032943070507136,0.0001580000005142,426.5057922208832,0.0034281521737375,0.0001243535480333,4419.6633577289485,460.08475391103735,693644895052.8165,21501.58389072599,36209.6469230271,54590413746805.22,1.0,74.0,0.0,74.0,0.0,0.0,0.0,1.0,74.0,0.0,74.0,0.0,0.0,0.0,1.0,74.0,0.0,74.0,0.0,0.0,0.0,1.0,74.0,0.0,74.0,0.0,0.0,0.0,1.0,74.0,0.0,74.0,0.0,0.0,0.0,1
833268,103.2011762286102,494.25923607367264,25942.73862482273,153.77985701859174,439.8581164657045,43355.25977126413,453.02188725605777,365.2518193947328,57599.58598610285,3994.828416527464,344.4607481375682,59580.43888666197,13132.855824863238,345.6964940752146,59488.74348836705,103.2011762286102,494.25923607367264,25942.73862482273,153.77985701859174,439.8581164657045,43355.25977126413,453.02188725605777,365.2518193947328,57599.58598610285,3994.828416527464,344.4607481375682,59580.43888666197,13132.855824863238,345.6964940752146,59488.74348836705,90.9048158573335,552.99931502245,22.211191064088712,552.99931502245,493.337008485454,0.0,0.0,118.63946582798334,552.3633935116085,28.386706826745296,552.3633935116085,805.805124467588,0.0,0.0,280.93786257415684,552.1741125006359,29.977567605220145,552.1741125006359,898.6545595255448,0.0,0.0,2302.3191425120663,553.4850357630855,15.941365840794736,553.4850357630855,254.1271448700573,0.0,0.0,7598.208565296994,553.7192357150683,11.77364549204882,553.7192357150683,138.61872817244148,0.0,0.0,90.9048158573335,0.0039357403962848,0.0005824762870651,118.63946582798334,0.0048098811155515,0.00087885906982,280.93786257415684,0.0054663357274675,0.191725507285866,2302.3191425120663,14235.691764741616,21462313104030.785,7598.208565296994,135305.42671399165,203975711677045.5,1.0,554.0,0.0,554.0,0.0,0.0,0.0,1.0,554.0,0.0,554.0,0.0,0.0,0.0,1.0,554.0,0.0,554.0,0.0,0.0,0.0,1.0,554.0,0.0,554.0,0.0,0.0,0.0,1.0,554.0,0.0,554.0,0.0,0.0,0.0,1
588620,93.2344147940794,414.83747827301374,49374.31224703623,169.5552048926602,391.09055882697646,53928.97649434256,447.5328192933637,361.47257506187134,58028.93004548666,3812.659120561087,339.2793281991003,59948.72197367635,37779.06591474352,340.5484704362881,59860.525442001046,93.2344147940794,414.83747827301374,49374.31224703623,169.5552048926602,391.09055882697646,53928.97649434256,447.5328192933637,361.47257506187134,58028.93004548666,3812.659120561087,339.2793281991003,59948.72197367635,37779.06591474352,340.5484704362881,59860.525442001046,67.18526411771859,552.3988873250133,28.078213968227697,552.3988873250133,788.3860996455769,0.0,0.0,114.0343351490202,552.2642931375094,29.230574947435738,552.2642931375094,854.426511757658,0.0,0.0,273.84325085703256,552.6429828829433,25.855849635430232,552.6429828829433,668.5249603699776,0.0,0.0,2156.9433748167744,553.592272549051,14.186300401970875,553.592272549051,201.251119094959,0.0,0.0,21459.8235091028,553.8082538705056,9.730663975081526,553.8082538705056,94.68582139594946,0.0,0.0,67.18526411771859,0.005260534802774,0.001060763212236,114.0343351490202,0.0052831774250023,0.0016418655562707,273.84325085703256,0.0058634272096013,0.0020122152052833,2156.9433748167744,0.0067185183335824,0.008902374944522,21459.8235091028,1364.9417516267747,2057850714351.3032,1.0,554.0,0.0,554.0,0.0,0.0,0.0,1.0,554.0,0.0,554.0,0.0,0.0,0.0,1.0,554.0,0.0,554.0,0.0,0.0,0.0,1.0,554.0,0.0,554.0,0.0,0.0,0.0,1.0,554.0,0.0,554.0,0.0,0.0,0.0,1
686696,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,1505913572.287358,0.0,1.0,1505913572.287358,0.0,1.0,1505913572.287358,0.0,1.0,1505913572.287358,0.0,1.0,1505913572.287358,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1
184233,2.645718314,66.00000036,4.29e-06,2.840778096,66.00023115,0.002773756,3.42213656,66.13612398,1.874225561,13.12112021,70.62110386,290.5029025,106.962633,71.03106166,382.289678,2.645718314,66.00000036,4.29e-06,2.840778096,66.00023115,0.002773756,3.42213656,66.13612398,1.874225561,13.12112021,70.62110386,290.5029025,106.962633,71.03106166,382.289678,2.645718313,66.00000036,0.002071897,122.0764862,11.12014502,-2.3e-07,-3.32e-05,2.840775134,66.00023115,0.052666467,121.06075,53.6811998,-0.000699396,-0.001812498,3.407204259,66.13761924,1.369455309,117.0138927,197.6381918,-0.277125241,-0.014394698,10.53177314,71.67724873,18.55165811,121.2005029,425.9002269,106.3348542,0.361874138,80.78310204,72.33560535,21.9337978,118.4662566,586.5816491,61.7717923,0.15373183,2.645718313,0.416131124,0.345056645,2.840775134,0.486742639,0.520866603,3.407204259,0.833624779,1.444748959,10.53177314,1.546964357,3.229791286,80.78310204,55.70685646,81159284270.0,1.817043282,66.0,0.0,122.3315168,0.0,0.0,0.0,1.885823176,66.0,9.54e-07,122.3315168,9.09e-13,6.440000000000001e-110,0.0,1.961316613,66.0,9.54e-07,122.3315168,9.09e-13,-6.11e-52,0.0,3.000405113,66.0,0.0,122.1895608,6.211209301,-2.66e-16,0.0,18.89193877,66.0026647,0.178799647,117.2287035,188.9239039,-0.013815519,-0.005621563,0
531128,122.14561767776308,73.98307588738103,0.2366511510781493,201.83720394943725,73.97479152805478,0.3522831401842268,601.8585546153272,73.9602708527147,0.5546296593411171,6269.058065738027,72.90687828124496,14.131684007468722,56027.59386089113,70.10913621424004,39.46079752654805,122.14561767776308,73.98307588738103,0.2366511510781493,201.83720394943725,73.97479152805478,0.3522831401842268,601.8585546153272,73.9602708527147,0.5546296593411171,6269.058065738027,72.90687828124496,14.131684007468722,56027.59386089113,70.10913621424004,39.46079752654805,121.99796009279932,73.9999999999999,3.3036247397782844e-06,73.9999999999999,1.0913936421275139e-11,0.0,0.0,201.4737748427764,74.00000000000001,1.6518123698891422e-06,74.00000000000001,2.7284841053187847e-12,0.0,0.0,600.1506025686585,73.99999999999929,5.046370145920927e-06,73.99999999999929,2.5465851649641987e-11,0.0,0.0,5779.094790653116,73.99974214184712,0.0600828400412968,73.99974214184712,0.003609947667428,0.0,0.0,40437.676097022944,73.99835931328316,0.1515484157138771,73.99835931328316,0.0229669223053861,0.0,0.0,121.99796009279932,0.0023991779333901,1.4243716451120126e-05,201.4737748427764,0.0024061443536064,1.2895541790332898e-05,600.1506025686585,0.0024103590206564,1.2925754110230572e-05,5779.094790653116,0.0032605553420183,1145679.043909539,40437.676097022944,5223.341213421251,7874975340141.728,1.0,74.0,0.0,74.0,0.0,0.0,0.0,1.0,74.0,0.0,74.0,0.0,0.0,0.0,1.0,74.0,0.0,74.0,0.0,0.0,0.0,1.0,74.0,0.0,74.0,0.0,0.0,0.0,1.0,74.0,0.0,74.0,0.0,0.0,0.0,1
